"episode nr","result","timesteps",,,,
0,1,1275,,83,,76620
1,1,440,,,,
2,1,914,,,,
3,1,700,,,,
4,1,258,,,,
5,1,418,,,,
6,0,5630,,,,
7,1,473,,,,
8,0,575,,,,
9,1,284,,,,
10,1,825,,,,
11,1,757,,,,
12,0,326,,,,
13,1,226,,,,
14,0,612,,,,
15,1,538,,,,
16,1,841,,,,
17,1,382,,,,
18,1,416,,,,
19,1,278,,,,
20,1,288,,,,
21,1,1274,,,,
22,1,391,,,,
23,1,2084,,,,
24,1,368,,,,
25,1,797,,,,
26,0,396,,,,
27,1,423,,,,
28,0,1316,,,,
29,1,819,,,,
30,1,701,,,,
31,1,254,,,,
32,1,634,,,,
33,1,390,,,,
34,1,276,,,,
35,0,453,,,,
36,1,300,,,,
37,0,349,,,,
38,1,492,,,,
39,0,658,,,,
40,1,295,,,,
41,1,574,,,,
42,1,253,,,,
43,1,467,,,,
44,0,411,,,,
45,1,321,,,,
46,1,268,,,,
47,1,231,,,,
48,1,244,,,,
49,1,457,,,,
50,1,525,,,,
51,0,363,,,,
52,1,973,,,,
53,1,419,,,,
54,1,269,,,,
55,1,2458,,,,
56,1,292,,,,
57,1,304,,,,
58,0,1965,,,,
59,0,303,,,,
60,1,481,,,,
61,1,868,,,,
62,1,2307,,,,
63,1,528,,,,
64,0,2483,,,,
65,1,1244,,,,
66,1,284,,,,
67,1,252,,,,
68,1,341,,,,
69,1,378,,,,
70,1,543,,,,
71,1,261,,,,
72,1,258,,,,
73,1,690,,,,
74,1,417,,,,
75,1,321,,,,
76,0,607,,,,
77,1,242,,,,
78,1,332,,,,
79,1,241,,,,
80,0,585,,,,
81,1,234,,,,
82,1,472,,,,
83,0,634,,,,
84,1,1280,,,,
85,1,312,,,,
86,1,574,,,,
87,1,1006,,,,
88,1,309,,,,
89,1,3007,,,,
90,1,1702,,,,
91,1,1498,,,,
92,0,262,,,,
93,1,4304,,,,
94,1,696,,,,
95,1,1041,,,,
96,1,417,,,,
97,1,468,,,,
98,1,3602,,,,
99,1,916,,,,
