"episode nr","result","timesteps",,
0,1,544,,77
1,1,1078,,
2,1,3216,,
3,1,909,,
4,1,1312,,
5,0,593,,
6,0,516,,
7,1,634,,
8,1,5017,,
9,1,422,,
10,0,351,,
11,1,268,,
12,1,2906,,
13,1,3235,,
14,0,2355,,
15,1,2794,,
16,1,568,,
17,1,688,,
18,0,758,,
19,1,2051,,
20,0,585,,
21,1,490,,
22,1,603,,
23,0,844,,
24,1,873,,
25,1,808,,
26,1,840,,
27,1,1676,,
28,1,481,,
29,1,574,,
30,0,388,,
31,1,452,,
32,1,233,,
33,1,563,,
34,1,451,,
35,1,232,,
36,1,1368,,
37,0,393,,
38,1,500,,
39,0,1091,,
40,1,216,,
41,1,289,,
42,1,266,,
43,1,18047,,
44,0,550,,
45,1,706,,
46,1,273,,
47,1,272,,
48,1,472,,
49,1,858,,
50,1,1221,,
51,0,1188,,
52,1,2753,,
53,1,257,,
54,1,310,,
55,1,694,,
56,1,379,,
57,0,455,,
58,0,1894,,
59,1,663,,
60,1,268,,
61,1,357,,
62,1,5372,,
63,1,289,,
64,1,268,,
65,1,3069,,
66,0,497,,
67,0,877,,
68,1,431,,
69,1,848,,
70,1,9986,,
71,0,4012,,
72,1,247,,
73,0,6499,,
74,1,1181,,
75,1,326,,
76,1,232,,
77,1,267,,
78,1,525,,
79,1,658,,
80,1,3530,,
81,0,813,,
82,1,372,,
83,1,405,,
84,0,1430,,
85,1,851,,
86,1,284,,
87,1,484,,
88,0,978,,
89,0,516,,
90,1,3672,,
91,1,474,,
92,1,1353,,
93,1,1108,,
94,1,285,,
95,0,1584,,
96,1,711,,
97,1,239,,
98,1,2651,,
99,1,680,,
