"episode nr","result","timesteps",,"percentage games won",,
0,1,1705,,88,,98478
1,1,363,,,,
2,1,806,,,,
3,1,251,,,,
4,1,804,,,,
5,1,468,,,,
6,1,324,,,,
7,1,448,,,,
8,1,484,,,,
9,1,285,,,,
10,0,1210,,,,
11,1,748,,,,
12,1,7766,,,,
13,1,400,,,,
14,1,988,,,,
15,1,323,,,,
16,1,606,,,,
17,1,2779,,,,
18,1,3897,,,,
19,1,1508,,,,
20,1,2791,,,,
21,1,605,,,,
22,1,6062,,,,
23,1,291,,,,
24,1,424,,,,
25,1,1208,,,,
26,1,1190,,,,
27,1,366,,,,
28,1,536,,,,
29,1,1097,,,,
30,1,223,,,,
31,1,531,,,,
32,1,1881,,,,
33,1,998,,,,
34,1,2101,,,,
35,0,1184,,,,
36,0,3573,,,,
37,1,831,,,,
38,0,589,,,,
39,1,1799,,,,
40,1,2234,,,,
41,1,1067,,,,
42,1,243,,,,
43,1,323,,,,
44,1,349,,,,
45,0,537,,,,
46,1,353,,,,
47,1,576,,,,
48,1,271,,,,
49,1,252,,,,
50,1,812,,,,
51,1,324,,,,
52,1,712,,,,
53,0,1000,,,,
54,1,281,,,,
55,1,1908,,,,
56,0,270,,,,
57,1,252,,,,
58,1,1735,,,,
59,0,246,,,,
60,1,673,,,,
61,1,973,,,,
62,1,3266,,,,
63,1,636,,,,
64,1,428,,,,
65,1,972,,,,
66,1,942,,,,
67,1,387,,,,
68,1,1481,,,,
69,1,366,,,,
70,1,418,,,,
71,1,570,,,,
72,1,1494,,,,
73,0,746,,,,
74,1,699,,,,
75,1,443,,,,
76,1,478,,,,
77,1,283,,,,
78,1,230,,,,
79,1,406,,,,
80,0,320,,,,
81,1,426,,,,
82,1,1665,,,,
83,1,409,,,,
84,1,217,,,,
85,1,548,,,,
86,1,353,,,,
87,0,1133,,,,
88,1,760,,,,
89,1,266,,,,
90,0,488,,,,
91,1,2367,,,,
92,1,733,,,,
93,1,746,,,,
94,1,698,,,,
95,1,382,,,,
96,1,393,,,,
97,1,791,,,,
98,1,923,,,,
99,1,781,,,,
