episode nr,won,timesteps,,total_won,total_lost,,
0,1,1855,,21,39,,valt regelmatig enemy aan
1,1,905,,,,,
2,0,3001,,,,,
3,1,1427,,,,,
4,0,3001,,,,,
5,0,2744,,,,,
6,0,2622,,,,,
7,0,2344,,,,,
8,1,2191,,,,,
9,1,821,,,,,
10,0,3001,,,,,
11,1,1068,,,,,
12,0,3001,,,,,
13,0,1322,,,,,
14,1,2238,,,,,
15,0,843,,,,,
16,0,3001,,,,,
17,0,3001,,,,,
18,1,1671,,,,,
19,1,1666,,,,,
20,0,818,,,,,
21,0,2876,,,,,
22,0,820,,,,,
23,0,2239,,,,,
24,0,3001,,,,,
25,0,583,,,,,
26,0,2629,,,,,
27,1,774,,,,,
28,1,1108,,,,,
29,1,925,,,,,
30,0,1029,,,,,
31,0,1161,,,,,
32,1,2416,,,,,
33,0,1959,,,,,
34,1,1938,,,,,
35,0,1057,,,,,
36,1,1125,,,,,
37,0,1601,,,,,
38,0,1466,,,,,
39,0,837,,,,,
40,0,646,,,,,
41,1,802,,,,,
42,0,547,,,,,
43,0,3001,,,,,
44,1,1403,,,,,
45,0,2808,,,,,
46,0,3001,,,,,
47,0,3001,,,,,
48,0,3001,,,,,
49,0,3001,,,,,
50,0,1809,,,,,
51,1,641,,,,,
52,1,1819,,,,,
53,0,2318,,,,,
54,0,828,,,,,
55,0,1034,,,,,
56,1,1160,,,,,
57,0,2501,,,,,
58,0,1276,,,,,
59,1,1889,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
